Relatório de Informações Cadastrais e Financeiras de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 09:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Modalidade de Contratação;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Encargos;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor;Proibido Honrar;Honra no Vencimento;Contrato RRF
BB - 2012769;12464;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 4.109, de 05/07/2012;17944.001308/2012-67;2012001828;12/12/2012;31/03/2018;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;940.956.773,22;0;579.996.264,59;Não;Sim;Não
BB - 2012772;12468;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Lei nº 2.566, de 13/07/2012;17944.001406/2012-02;2013000004, 2018000203;20/12/2012;31/03/2018;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%;;R$;69.389.583,10;0;59.495.946,71;Não;Não;Não
BB - 2012784;12448;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 2.827, de 30/03/2001 - Lei nº 2.615, de 26/07/2012;17944.001252/2012-41;2012001845;20/12/2012;31/03/2018;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;553.367.668,70;0;343.869.058,61;Não;Não;Não
BB - 2012786;12471;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 2.827, de 30/03/2001;17944.001342/2012-31;2012001841, 2018000204;20/12/2012;31/12/2018;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%;;R$;785.018.812,50;0;675.926.054,48;Não;Sim;Não
BB - 2012790;12463;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa de Desenvolvimento de Minas Gerais - PDMG - Lei nº 20.444, de 19/11/2012;17944.001412/2012-51;2013000008;26/12/2012;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 3,6%, Tranche Efetiva 1: 100% Libor + 3,6%;;R$;3.653.733.000,00;0;5.972.675.601,45;Não;Sim;Não
BB - 2012796;12441;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001394/2012-16;2018000199, 2013000003, 2020003712;21/12/2012;31/12/2017;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%;;R$;838.902.376,67;0;735.404.453,16;Não;Não;Não
BB - 2012800;12440;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001457/2012-26;2020003625, 2013000009;21/12/2012;31/12/2017;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;517.493.000,00;0;370.428.192,40;Não;Não;Não
BB - 2012802;12437;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Desembolsando e Amortizando;Programa Mato Grosso Integrado, Sustentável e Competitivo. Lei nº 9.763, de 21/06/2012;17944.001241/2012-61;2020003707, 2020003706, 2020003705, 2013000012, 2013000011, 2013000010;27/12/2012;10/06/2022;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Efetiva 3: Pós-fixado;Tranche Prevista 1: 100% TJLP + 3,8%, Tranche Efetiva 1: 100% TJLP + 3,8%, Tranche Efetiva 2: 100% TJLP + 3,8%, Tranche Efetiva 3: 100% TJLP + 3,8%;;R$;1.416.670.000,00;67.440.895,83;371.649.293,71;Não;Não;Não
BB - 2012805;12439;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001388/2012-51;2013000013, 2020003702, 2018000206;27/12/2012;31/12/2017;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%;;R$;460.068.420,00;0;402.430.233,80;Não;Não;Não
BB - 2012810;12456;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001393/2012-63;2012001840, 2020003439;21/12/2012;31/12/2017;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;365.496.000,00;0;237.689.787,44;Não;Não;Não
BB - 2012820;12438;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Desembolsando e Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001413/2012-04;2013000017;26/12/2012;10/06/2022;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;438.921.139,00;46.984.000,00;235.699.323,81;Não;Não;Não
BB - 2013836;12443;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Desembolsando e Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001447/2012-91;2013000109;29/01/2013;10/06/2022;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 1: 100% TJLP + 1,1%;;R$;363.851.000,00;18.191.171,58;213.167.769,12;Não;Não;Não
BB - 2013850;12431;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa de Melhoria da Infra-Estrutura para Grandes Eventos - PRÓ-CIDADES II/RJ. Lei nº 6.368, de 20/12/2012;17944.000159/2013-08;2013000326;26/04/2013;31/12/2019;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 3,73%, Tranche Efetiva 1: 100% Libor + 3,73%;;R$;3.135.800.000,00;0;4.524.102.224,61;Não;Sim;Não
BB - 2013877;12470;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Projetos Caminhos Estratégicos da Produção e Prevenção de Desastres Naturais. Lei nº 15.941, de 20/12/2012;17944.000233/2013-88;2013000486, 2020003665;18/07/2013;31/12/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 3,75%, Tranche Efetiva 1: 100% Libor + 3,75%;;R$;1.056.400.000,00;0;1.406.935.734,26;Não;Não;Não
BB - 2013879;12453;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa Pró-Desenvolvimento II. Lei nº 6.278, de 31/10/2012;17944.000199/2013-41;2015000781, 2020003708;04/07/2013;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 4,5572%, Tranche Efetiva 1: 100% Libor + 4,5572%;;R$;599.978.000,00;0;769.272.051,83;Não;Não;Não
BB - 2013887;12447;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa de Investimento. Lei nº 14.990, de 29/04/2013;17944.000370/2013-12;2013000580, 2020003697;04/09/2013;31/12/2017;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 3,73%, Tranche Efetiva 1: 100% Libor + 3,73%;;R$;2.000.000.000,00;0;3.526.829.812,92;Não;Não;Não
BB - 2013889;12446;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programas e projetos referidos na Lei nº 18.032, de 22/05/2013;17944.000453/2013-10;2015000926, 2020003682;08/08/2013;31/01/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 4,051%, Tranche Efetiva 1: 100% Libor + 4,051%;;R$;1.560.000.000,00;0;2.372.351.845,19;Não;Sim;Sim
BB - 2013891;12450;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa de Modernização do Estado e de sua Infraestrutura Econômica e Social. Lei nº 2.701, de 07/03/2013;17944.000237/2013-66;2015001120, 2020003683;27/06/2013;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 4,31%, Tranche Efetiva 1: 100% Libor + 4,31%;;R$;390.000.000,00;0;567.666.662,03;Não;Não;Não
BB - 2013898;12457;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Desembolsando e Amortizando;Programa de Infraestrutura Rodoviária. Lei nº 19.969, de 26/12/2011 e alterações;17944.000208/2013-02;2013000543;24/07/2013;10/06/2022;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 3,73%, Tranche Efetiva 1: 100% Libor + 3,73%;;R$;1.500.000.000,00;73.105.673,00;1.923.175.204,98;Não;Sim;Não
BB - 2013902;12452;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa de Infraestrutura para Criação de Oportunidades - PROINFRA. Lei nº 3.866, de 19/03/2013;17944.000743/2013-55;2020003626, 2013000909;26/11/2013;31/01/2020;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 120% CDI Juros + 0%, Tranche Efetiva 1: 120% CDI Juros + 0%;;R$;764.000.000,00;0;667.827.064,53;Não;Não;Não
BB - 2013907;12462;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Investimentos previstos no orçamento do Estado nas áreas definidas na Lei nº 12.627, de 28/12/2012;17944.000322/2013-24;2015000805, 2020003685;27/11/2013;31/12/2017;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% Libor + 4,425%, Tranche Efetiva 1: 100% Libor + 4,425%;;R$;1.125.480.000,00;0;1.579.406.027,00;Não;Não;Não
BB - 2013943;12469;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna;Amortizando;Programa Pacto por Santa Catarina. Lei nº 16.129, de 23/09/2013;17944.001640/2013-11;2013000905, 2020003666;27/11/2013;23/09/2020;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 120% CDI Juros + 0%, Tranche Efetiva 1: 120% CDI Juros + 0%;;R$;2.000.000.000,00;0;1.734.677.392,56;Não;Não;Não
BB - 2013955;12445;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Garantia Interna TJLP;Amortizando;Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE. Resolução nº 2.827, de 30/03/2001;17944.001403/2012-61;2018000243, 2013001131, 2020003687;30/12/2013;31/12/2017;TJLP;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado;Tranche Prevista 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%;;R$;816.831.240,58;0;724.391.807,64;Não;Não;Não
