Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 19/11/2019 14:44
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 18/11/2019

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor
BB - 2012735;12465;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Melhoria da Infraestrutura Rodoviária, Urbana, e da Mobilidade das Cidades do Estado do Rio de Janeiro - PRÓ-CIDADES (Lei estadual nº 6183, de 22 de Março de 2012)";17944.000532/2012-31;2012000998;05/06/2012;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,85%, Tranche Prevista 1: 100% Libor + 3,85%;R$;3.645.563.000,00;0,00;5.695.248.181,058898;
BB - 2012769;12464;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"""Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 4.109, de 05/07/2012, que alterou o art. 9º-N da Resolução nº 2.827, de 30 de
março de 2001.""";17944.001308/2012-67;2012001828;12/12/2012;31/03/2018;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;940.956.773,22;0,00;710.830.733,23;
BB - 2012772;12468;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.566, de 13/07/2012";17944.001406/2012-02;2013000004, 2018000203;20/12/2012;31/03/2018;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;69.389.583,10;0,00;60.161.925,51;
BB - 2012784;12448;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.615, de 26/07/2012";17944.001252/2012-41;2012001845;20/12/2012;31/03/2018;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;553.367.668,70;0,00;420.837.270,50;
BB - 2012786;12471;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012.";17944.001342/2012-31;2012001841, 2018000204;20/12/2012;31/12/2018;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;785.018.812,50;0,00;683.687.531,89;
BB - 2012790;12463;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"""Programa de Desenvolvimento de Minas Gerais ¿ PDMG - (Lei estadual nº 20.444, de 19 de novembro de 2012)
""";17944.001412/2012-51;2013000008;26/12/2012;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,6%, Tranche Prevista 1: 100% Libor + 3,6%;R$;3.653.733.000,00;0,00;6.241.909.266,154023;
BB - 2012796;12441;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001394/2012-16;2018000199, 2013000003;21/12/2012;31/12/2017;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;838.902.376,67;0,00;732.724.190,11;
BB - 2012800;12440;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001457/2012-26;2013000009;21/12/2012;31/12/2017;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;517.493.000,00;0,00;413.241.271,28;
BB - 2012802;12437;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Investimentos em ampliação e melhoria da infraestrutura viária constantes do Programa Mato Grosso Integrado, Sustentável e Competitivo (Lei nº 9.763, de 21 de junho de 2012) - Subcrédito B";17944.001241/2012-61;2013000012, 2013000011, 2013000010;27/12/2012;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Efetiva 3: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 3,8%, Tranche Efetiva 2: 100% TJLP + 3,8%, Tranche Efetiva 3: 100% TJLP + 3,8%, Tranche Prevista 1: 100% TJLP + 3,8%;R$;1.416.670.000,00;125.000.000,00;701.569.825,67;
BB - 2012805;12439;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001388/2012-51;2013000013, 2018000206;27/12/2012;31/12/2017;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;460.068.420,00;0,00;400.678.012,59;
BB - 2012810;12456;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001393/2012-63;2012001840;21/12/2012;31/12/2017;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;365.496.000,00;0,00;277.825.526,35;
BB - 2012820;12438;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.851, de 24/09/2012";17944.001413/2012-04;2013000017;26/12/2012;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;438.921.139,00;46.984.000,00;288.455.907,81;
BB - 2013836;12443;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001447/2012-91;2013000109;29/01/2013;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;363.851.000,00;18.191.171,58;260.511.493,56;
BB - 2013850;12431;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Melhoria da Infra-estrutura do Estado do Rio de Janeiro para Grandes Eventos - PRÓ-CIDADES II/RJ";17944.000159/2013-08;2013000326;26/04/2013;31/12/2019;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%;R$;3.135.800.000,00;0,00;4.522.470.872,74316;
BB - 2013877;12470;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projetos Caminhos Estratégicos da Produção e Prevenção de Desastres Naturais (Lei nº 15.941, de 20 de dezembro de 2012).";17944.000233/2013-88;2013000486;18/07/2013;31/12/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,75%, Tranche Prevista 1: 100% Libor + 3,75%;R$;1.056.400.000,00;0,00;1.366.071.803,507366;
BB - 2013879;12453;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Pró-Desenvolvimento II. Lei estadual nº 6.278, de 31/10/2012";17944.000199/2013-41;2015000781;04/07/2013;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,5572%, Tranche Prevista 1: 100% Libor + 4,5572%;R$;599.978.000,00;0,00;744.168.078,3538978;
BB - 2013887;12447;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Investimento do Estado de São Paulo";17944.000370/2013-12;2013000580;04/09/2013;31/12/2017;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%;R$;2.000.000.000,00;0,00;3.434.215.742,920742;
BB - 2013889;12446;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"""Programa Goiás Estruturante, com programas e projetos referidos na Lei estadual nº 18.032, de 22/05/2013:";17944.000453/2013-10;2015000926;08/08/2013;31/01/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,051%, Tranche Prevista 1: 100% Libor + 4,051%;R$;1.560.000.000,00;0,00;2.301.842.082,294969;
BB - 2013891;12450;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Modernização do Estado e de sua Infraestrutura Econômica e Social - PROESTADO (Lei estadual nº 2.701, de 07/03/2013)";17944.000237/2013-66;2015001120;27/06/2013;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,31%, Tranche Prevista 1: 100% Libor + 4,31%;R$;390.000.000,00;0,00;553.117.352,5286454;
BB - 2013898;12457;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Infraestrutura Rodoviária";17944.000208/2013-02;2013000543;24/07/2013;31/12/2019;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%;R$;1.500.000.000,00;73.105.673,00;1.993.684.751,275909;
BB - 2013902;12452;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Infraestrutura para Criação de Oportunidades no Amazonas - PROINFRA (Lei estadual nº 3.866, de 19/03/2013)";17944.000743/2013-55;2013000909;26/11/2013;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;764.000.000,00;85.863.668,63;634.385.600,25;
BB - 2013907;12462;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Investimentos previstos no orçamento do Estado nas áreas de Segurança Pública e Prisional; Ciência, Tecnologia e Inovação; Saúde e Mobilidade Urbana. Lei estadual nº 12.627, de 28/12/2012. Incluído na destinação dos recursos, por meio de aditivo assinado em 09/09/2014, o Programa Infraestrutura de Transportes, autorizado pela Lei nº 12.931, de 03/01/2014";17944.000322/2013-24;2015000805;27/11/2013;31/12/2017;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,425%, Tranche Prevista 1: 100% Libor + 4,425%;R$;1.125.480.000,00;0,00;1.527.011.040,036074;
BB - 2013943;12469;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Pacto por Santa Catarina e (Lei nº 16.129, de 23 de setembro de 2013)";17944.001640/2013-11;2013000905;27/11/2013;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;2.000.000.000,00;100.000.000,00;1.777.419.354,84;
BB - 2013955;12445;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE";17944.001403/2012-61;2018000243, 2013001131;30/12/2013;31/12/2017;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%;R$;816.831.240,58;0,00;723.787.078,94;
BB - 2014003;12442;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Contrapartidas das Obras do Programa de Aceleração do Crescimento (PAC), do Programa Minha Casa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamente associados à Copa de 2014. Art. 9º-S da Resolução nº 2.827, de 30/03/2001, alterada pelas Resoluções nº 4.098, de 28 de junho de 2012, e nº 4.158, de 22/11/2012, ambas do Conselho Monetário Nacional. Leis Distritais nº 5.001, de 20/12/2012, e nº 5.282, de 24/12/2013";17944.000855/2014-97;2014001493;29/08/2014;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 2,1%, Tranche Prevista 1: 100% TJLP + 2,1%;R$;67.786.728,82;5.949.130,89;33.641.555,88;
BB - 2014007;12459;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Contrapartida das Obras do Programa de Aceleração do Crescimento (PAC), do Programa Minha Casa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamente associados à Copa de 2014. - Art. 9º-S da Resolução CMN nº 2.827, de 30/03/2001, com as alterações das Resoluções nº 4.098, de 28/06/2012, nº 4.158, de 22/11/2012, nº 4.182, de 31/01/2013, e nº 4.270, de setembro de 2013. Lei municipal nº 10.096, de 27/09/2013";17944.000702/2014-40;2014001540;15/10/2014;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 2,1%, Tranche Prevista 1: 100% TJLP + 2,1%;R$;57.312.000,00;2.462.781,62;35.055.416,13;
